station_latitude,station_longitude,weather_classifier,temp_category,station_name,date
58.311,-4.916,Mild Rain,Cool,ACHFARY,2012-01-01
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-02
58.311,-4.916,Heavy Rain,Cold,ACHFARY,2012-01-03
58.311,-4.916,Heavy Rain,Cold,ACHFARY,2012-01-04
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-05
58.311,-4.916,Mild Rain,Cool,ACHFARY,2012-01-06
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-07
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-08
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-09
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-10
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-11
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-12
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-13
58.311,-4.916,Dry,Cold,ACHFARY,2012-01-14
58.311,-4.916,Dry,Cold,ACHFARY,2012-01-15
58.311,-4.916,Dry,Cold,ACHFARY,2012-01-16
58.311,-4.916,Dry,Cool,ACHFARY,2012-01-17
58.311,-4.916,Mild Rain,Cool,ACHFARY,2012-01-18
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-19
58.311,-4.916,Heavy Rain,Cold,ACHFARY,2012-01-20
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-21
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-22
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-23
58.311,-4.916,Drizzle,Cold,ACHFARY,2012-01-24
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-25
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2012-01-26
58.311,-4.916,Drizzle,Cold,ACHFARY,2012-01-27
58.311,-4.916,Drizzle,Cold,ACHFARY,2012-01-28
58.311,-4.916,Dry,Cool,ACHFARY,2012-01-29
58.311,-4.916,Dry,Cold,ACHFARY,2012-01-30
58.311,-4.916,Dry,Cold,ACHFARY,2012-01-31
58.311,-4.916,Dry,Cold,ACHFARY,2012-02-01
58.311,-4.916,Dry,Cold,ACHFARY,2012-02-02
